country_id,year,indicator_id,indicator_name,source_code,domain,value,unit,frequency,lag_class,direction_good,source,quality_tier,quality_flag,updated_at
AUS,2022,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.35614929509239e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2021,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.30039076566829e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2020,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.2507523858651e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2019,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.33142643790741e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2018,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.31220344318251e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2017,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.20221874286349e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2016,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.21881700823279e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2015,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.17852484720567e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2014,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.18026703321947e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2013,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.18526958939392e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2012,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.1028478984604e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2011,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.02598123616431e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2010,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.0411751894265e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2009,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.19501151705037e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2008,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.41542735049965e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2007,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.39945520669883e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2006,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.44695693337421e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2005,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.47148112586711e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2004,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.42195290194588e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2003,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.42596128506148e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2002,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.35096379102133e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2001,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.48100919346919e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUS,2000,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.29835970252002e-08,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2023,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.5640680066923e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2022,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.61266920803131e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2021,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.60148539837239e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2020,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.4666005775658e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2019,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.58096620383826e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2018,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.57216448598991e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2017,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.57616861075799e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2016,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.58220277699052e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2015,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.72160274066387e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2014,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.68419027283415e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2013,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.67741686943731e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2012,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.61830994283732e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2011,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.56466391466356e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2010,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.5495733887384e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2009,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.53973668580862e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2008,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.6248140017775e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2007,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.55950050669501e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2006,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.51943406740954e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2005,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.56489616551304e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2004,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.64758305323051e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2003,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.68133590933971e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2002,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.71759762710679e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
AUT,2001,GGREV_GDP,General government revenue proxy (tax revenue),GC.TAX.TOTL.GD.ZS,fiscal,2.81049696740217e-05,percent_gdp,annual,short,up,World Bank,Tier2,proxy_series,2026-02-15T09:14:45.191258+00:00
